Data version;From;To;Agregation function;Agregation;
real data;01.01.2018 00:00:00;31.12.2018 23:59:59;agregation average;hour;
Date;PSE Actual [MW];PSE Planned [MW];SEPS Actual [MW];SEPS Planned [MW];APG Actual [MW];APG Planned [MW];TenneT Actual [MW];TenneT Planned [MW];50HzT Actual [MW];50HzT Planned [MW];CEPS Actual [MW];CEPS Planned [MW];
01.01.2018 00:00;612.4951171875;-0;-1181.2938232421875;-1168.4000244140625;-1254.2366943359375;136;269.23880004882812;348;1382.764404296875;573;-171.03233337402344;-111.4000244140625;
01.01.2018 01:00;719.23199462890625;-0;-1152.1124267578125;-1026.9000244140625;-1350.3116455078125;37;273.85934448242188;384;1466.3968505859375;597;-42.935905456542969;-8.9000244140625;
01.01.2018 02:00;735.25750732421875;-0;-1125.83056640625;-1152.4000244140625;-1225.421630859375;38;364.68585205078125;821;1502.2772216796875;588;250.96839904785156;294.5999755859375;
01.01.2018 03:00;819.34332275390625;-0;-1065.4169921875;-1088.4000244140625;-1147.256591796875;36;466.4619140625;1046;1562.8079833984375;779;635.9395751953125;772.5999755859375;
01.01.2018 04:00;832.71490478515625;-0;-1085.3497314453125;-1100.699951171875;-1203.769775390625;136;474.90478515625;806;1588.645751953125;979;607.14581298828125;820.300048828125;
01.01.2018 05:00;806.28106689453125;-0;-1117.4647216796875;-1176.800048828125;-1205.04248046875;203;550.34613037109375;846;1520.05517578125;965;554.17523193359375;837.199951171875;
01.01.2018 06:00;768.35382080078125;-0;-1205.2440185546875;-1317.199951171875;-1169.378662109375;487;714.37982177734375;842;1608.8902587890625;765;717.001220703125;776.800048828125;
01.01.2018 07:00;670.4471435546875;-0;-1237.7154541015625;-1328.800048828125;-1278.8466796875;500;613.62042236328125;672;1582.6468505859375;488;350.15231323242188;331.199951171875;
01.01.2018 08:00;610.94085693359375;-0;-1383.798095703125;-1598.9000244140625;-1320.3720703125;395;557.78765869140625;691;1533.564208984375;509;-1.87750244140625;-3.9000244140625;
01.01.2018 09:00;625.60003662109375;-0;-1310.88427734375;-1558.4000244140625;-1330.9114990234375;500;670.35968017578125;700;1585.2069091796875;500;239.37086486816406;141.5999755859375;
01.01.2018 10:00;665.67401123046875;-0;-1252.1319580078125;-1304.0999755859375;-1380.419677734375;500;748.1666259765625;732;1633.54345703125;468;414.83233642578125;395.9000244140625;
01.01.2018 11:00;653.70849609375;-0;-1295.71875;-1392.800048828125;-1398.10498046875;500;757.06842041015625;632;1651.386474609375;568;368.3397216796875;307.199951171875;
01.01.2018 12:00;596.99554443359375;-0;-1156.4635009765625;-1299.5;-1268.5712890625;458;743.33172607421875;820;1600.228515625;560;515.5211181640625;538.5;
01.01.2018 13:00;532.47918701171875;-0;-1055.0322265625;-1274.699951171875;-1140.9320068359375;371;710.77471923828125;842;1503.41650390625;660;550.7061767578125;598.300048828125;
01.01.2018 14:00;612.76580810546875;-0;-928.3477783203125;-1223.199951171875;-1029.8377685546875;351;518.96685791015625;838;1253.6593017578125;522;427.20648193359375;487.800048828125;
01.01.2018 15:00;721.7996826171875;-25;-820.8553466796875;-849.79998779296875;-871.25140380859375;351;489.737060546875;760;1128.9307861328125;501;648.36083984375;737.199951171875;
01.01.2018 16:00;642.53131103515625;-25;-885.9554443359375;-1011.7999877929688;-892.80670166015625;300;485.15521240234375;748;1119.41259765625;541;468.33694458007812;552.199951171875;
01.01.2018 17:00;350.4605712890625;-50;-787.5673828125;-760;-968.5595703125;141;137.04916381835938;-86;839.3583984375;445;-429.25885009765625;-310;
01.01.2018 18:00;338.04000854492188;-50;-815.3673095703125;-835;-1025.5289306640625;204;128.51638793945313;-79;933.17462158203125;362;-441.165283203125;-398;
01.01.2018 19:00;295.12142944335938;-100;-817.88311767578125;-744.9000244140625;-1056.3759765625;150;9.1450071334838867;-370;861.42584228515625;355;-708.56683349609375;-709.9000244140625;
01.01.2018 20:00;430.53021240234375;-74;-846.400634765625;-951.4000244140625;-1156.1846923828125;179;-68.453575134277344;-349;838.64093017578125;391;-801.8677978515625;-804.4000244140625;
01.01.2018 21:00;370.54559326171875;-88;-735.03515625;-880.5;-1139.873291015625;153;-225.48448181152344;-369;769.505126953125;236;-960.34222412109375;-948.5;
01.01.2018 22:00;404.9525146484375;-85;-608.5439453125;-838;-999.147216796875;143;-309.11260986328125;-313;643.38055419921875;236;-868.470703125;-857;
01.01.2018 23:00;393.82180786132812;-50;-511.58462524414062;-561.79998779296875;-972.0052490234375;186;-299.42446899414062;-558;534.4901123046875;148;-854.70245361328125;-835.800048828125;
02.01.2018 00:00;626.17462158203125;-0;-211.52503967285156;299.5999755859375;-826.65155029296875;221;-37.433422088623047;-105;706.1795654296875;-57;256.74420166015625;358.60009765625;
02.01.2018 01:00;565.7476806640625;-0;20.694036483764648;700.9000244140625;-605.6683349609375;71;1.7887042760849;-222;588.3350830078125;48;570.89715576171875;597.89990234375;
02.01.2018 02:00;517.385986328125;-0;120.88370513916016;905.300048828125;-557.1441650390625;71;-23.646541595458984;-115;484.50192260742188;-254;541.98095703125;607.300048828125;
02.01.2018 03:00;456.6614990234375;-0;173.72883605957031;1037.89990234375;-544.8438720703125;71;-91.243324279785156;-491;362.5948486328125;-241;356.89797973632812;376.89990234375;
02.01.2018 04:00;562.70025634765625;-0;7.8425898551940918;637.199951171875;-721.79718017578125;71;-33.831417083740234;26;516.54498291015625;-251;331.45919799804688;483.199951171875;
02.01.2018 05:00;719.4134521484375;-0;-212.78927612304688;333.800048828125;-990.98681640625;71;-90.6629409790039;-59;726.6053466796875;-119;151.57981872558594;226.800048828125;
02.01.2018 06:00;708.51416015625;-50;-506.1077880859375;171.199951171875;-976.694091796875;169;42.125675201416016;60;853.38519287109375;-212;121.22315216064453;138.199951171875;
02.01.2018 07:00;715.50994873046875;-0;-592.45355224609375;-294.20001220703125;-840.684326171875;228;-56.351291656494141;199;939.44744873046875;54;165.4681396484375;186.800048828125;
02.01.2018 08:00;499.20327758789062;-25;-582.12664794921875;54.5999755859375;-679.63836669921875;115;-295.72213745117188;-311;886.5296630859375;10;-171.75413513183594;-156.4000244140625;
02.01.2018 09:00;347.74755859375;-50;-491.01123046875;-24.199951171875;-587.72149658203125;186;-418.09213256835938;-328;820.79693603515625;-85;-328.28036499023438;-301.199951171875;
02.01.2018 10:00;268.14065551757812;-25;-460.1119384765625;-320.5999755859375;-530.0577392578125;215;-544.7308349609375;-421;740.74859619140625;100;-526.01123046875;-451.5999755859375;
02.01.2018 11:00;318.02926635742188;-50;-631.80682373046875;-606.5;-651.0098876953125;292;-590.50433349609375;-467;785.69873046875;100;-769.593017578125;-731.5;
