Data version;From;To;Agregation function;Agregation;
real data;01.01.2016 00:00:00;31.12.2016 23:59:59;agregation average;hour;
Date;PSE Actual [MW];PSE Planned [MW];SEPS Actual [MW];SEPS Planned [MW];APG Actual [MW];APG Planned [MW];TenneT Actual [MW];TenneT Planned [MW];50HzT Actual [MW];50HzT Planned [MW];CEPS Actual [MW];CEPS Planned [MW];
01.01.2016 00:00;1153.1400146484375;-0;-1426.182373046875;-1373.5999755859375;-2149.584716796875;121;-638.309326171875;-487;872.6170654296875;-348;-2188.3193359375;-2087.60009765625;
01.01.2016 01:00;1133.0108642578125;-0;-1287.39990234375;-1235;-2074.152099609375;121;-556.8251953125;-445;838.2900390625;-312;-1947.076171875;-1871;
01.01.2016 02:00;1124.39599609375;-0;-1180.1773681640625;-1036.800048828125;-2056.496337890625;121;-589.8160400390625;-527;847.86138916015625;-368;-1854.2325439453125;-1810.800048828125;
01.01.2016 03:00;1114.3206787109375;-0;-1107.4703369140625;-945.79998779296875;-2045.3670654296875;121;-614.7996826171875;-588;843.211669921875;-376;-1810.104736328125;-1788.800048828125;
01.01.2016 04:00;1070.7899169921875;-0;-1066.0313720703125;-929.29998779296875;-2016.2518310546875;121;-513.30145263671875;-500;685.02325439453125;-488;-1839.771484375;-1796.300048828125;
01.01.2016 05:00;1066.8448486328125;-0;-1167.5223388671875;-1151;-1999.1959228515625;121;-483.9852294921875;-436;684.53851318359375;-390;-1899.3201904296875;-1856;
01.01.2016 06:00;1045.910888671875;-0;-1087.011962890625;-1004.9000244140625;-1979.1451416015625;121;-461.42691040039062;-450;665.70916748046875;-465;-1815.964111328125;-1798.9000244140625;
01.01.2016 07:00;1107.368408203125;-0;-1091.038330078125;-988;-2132.296630859375;121;-488.38754272460938;-525;799.8936767578125;-419;-1804.4603271484375;-1811;
01.01.2016 08:00;1198.6551513671875;-0;-967.990234375;-829;-2063.785888671875;177;-430.38919067382812;-557;874.428955078125;-173;-1389.081298828125;-1382;
01.01.2016 09:00;1163.498291015625;-0;-927.263427734375;-871;-1940.775634765625;177;-289.37680053710938;-247;895.66522216796875;-173;-1098.2523193359375;-1114;
01.01.2016 10:00;1003.5181274414063;-0;-1030.5462646484375;-919.79998779296875;-1995.4102783203125;177;-402.25274658203125;-592;694.3394775390625;-418;-1730.3516845703125;-1752.800048828125;
01.01.2016 11:00;968.0701904296875;-0;-1009.20849609375;-897.5999755859375;-1973.25537109375;177;-459.00112915039062;-606;628.87725830078125;-503;-1844.517578125;-1829.5999755859375;
01.01.2016 12:00;929.0220947265625;-0;-957.84320068359375;-962.29998779296875;-1823.056396484375;177;-470.43655395507812;-528;609.4775390625;-467;-1712.836669921875;-1780.300048828125;
01.01.2016 13:00;921.36468505859375;-0;-979.239501953125;-1061.9000244140625;-1782.1778564453125;177;-421.46109008789062;-467;623.74053955078125;-296;-1637.773193359375;-1647.9000244140625;
01.01.2016 14:00;997.2347412109375;-0;-1154.71875;-1123;-1839.567626953125;177;-273.20199584960938;-417;746.3697509765625;-143;-1523.8837890625;-1506;
01.01.2016 15:00;1024.6925048828125;-0;-1305.666748046875;-1131.4000244140625;-1926.12060546875;177;-172.69744873046875;-427;852.1473388671875;-93;-1527.64501953125;-1474.4000244140625;
01.01.2016 16:00;934.10675048828125;-0;-1399.5362548828125;-1369.199951171875;-1858.1087646484375;177;-196.71418762207031;-469;787.3687744140625;7;-1732.8836669921875;-1654.199951171875;
01.01.2016 17:00;1007.4189453125;-0;-1383.36376953125;-1262.5;-1936.5126953125;177;-256.24267578125;-485;862.91534423828125;-118;-1705.7847900390625;-1688.5;
01.01.2016 18:00;1009.51123046875;-0;-1445.9150390625;-1194.5999755859375;-2008.1151123046875;177;-325.2371826171875;-534;842.41888427734375;-328;-1927.3372802734375;-1879.5999755859375;
01.01.2016 19:00;990.551025390625;-0;-1458.572265625;-1214.199951171875;-2053.159912109375;177;-381.5255126953125;-621;838.493408203125;-377;-2064.213134765625;-2035.199951171875;
01.01.2016 20:00;937.07147216796875;10;-1535.0606689453125;-1322.800048828125;-2051.356201171875;121;-505.08221435546875;-891;857.30816650390625;-213;-2297.119384765625;-2295.800048828125;
01.01.2016 21:00;1003.2404174804688;-0;-1595.68505859375;-1338.5999755859375;-2150.35693359375;121;-585.0537109375;-912;815.450927734375;-348;-2512.404296875;-2477.60009765625;
01.01.2016 22:00;1196.2589111328125;200;-1518.76953125;-1311.699951171875;-2264.15771484375;121;-674.62445068359375;-921;783.8328857421875;-548;-2477.4599609375;-2459.699951171875;
01.01.2016 23:00;1016.0292358398438;-0;-1395.734375;-1255.9000244140625;-2212.517333984375;121;-496.6224365234375;-652;895.71783447265625;-413;-2193.127197265625;-2199.89990234375;
02.01.2016 00:00;1112.3360595703125;-0;-1214.36865234375;-1289.300048828125;-2011.07958984375;177;-243.85215759277344;2;1038.841796875;-168;-1318.12255859375;-1278.300048828125;
