X,t_h,t_d,,,,,
27.560,236.027,9.834,,,,,
27.445,23.312,0.971,,,,,
27.408,631.865,26.328,,,,,
27.399,159.629,6.651,,,,,
27.223,83.209,3.467,,,,,
27.073,1028.119,42.838,,,,,
26.754,340.781,14.199,,,,,
26.678,24.033,1.001,,,,,
26.530,5.792,0.241,,,,,
26.496,1516.475,63.186,,,,,
26.349,267.220,11.134,,,,,
26.326,379.119,15.797,,,,,
26.171,204.239,8.510,,,,,
26.097,541.598,22.567,,,,,
26.039,186.643,7.777,,,,,
25.961,23.985,0.999,,,,,
25.898,23.686,0.987,,,,,
25.888,28.109,1.171,,,,,
25.750,689.307,28.721,,,,,
25.592,24.351,1.015,,,,,
25.574,7.990,0.333,,,,,
25.482,151.269,6.303,,,,,
25.323,33.756,1.406,,,,,
25.323,3791.188,157.966,,,,,
25.272,23.250,0.969,,,,,
25.154,363.228,15.134,,,,,
25.090,477.630,19.901,,,,,
25.076,24.759,1.032,,,,,
