Data version;From;To;Agregation function;Agregation;
real data;01.01.2021 00:00:00;31.12.2021 23:59:59;agregation average;hour;
Date;PSE Actual [MW];PSE Planned [MW];SEPS Actual [MW];SEPS Planned [MW];APG Actual [MW];APG Planned [MW];TenneT Actual [MW];TenneT Planned [MW];50HzT Actual [MW];50HzT Planned [MW];CEPS Actual [MW];CEPS Planned [MW];
01.01.2021 00:00;949.43121337890625;600;-67.6201171875;-237.29998779296875;-1402.2242431640625;-564;-1809.4788818359375;-1250;-378.7593994140625;-1247;-2708.6513671875;-2698.300048828125;
01.01.2021 01:00;867.4371337890625;320;120.62870025634766;80.5;-1337.564697265625;-600;-1751.194580078125;-1150;-414.26577758789062;-1147.5999755859375;-2514.959228515625;-2497.10009765625;
01.01.2021 02:00;1010.6767578125;469;375.22543334960938;500.9000244140625;-1195.5006103515625;-600;-1699.1390380859375;-1150;-371.8892822265625;-1149;-1880.6268310546875;-1929.0999755859375;
01.01.2021 03:00;1134.891357421875;461;481.75808715820312;665.0999755859375;-1032.6905517578125;-600;-1702.15185546875;-1150;-602.29473876953125;-1150;-1720.48779296875;-1773.9000244140625;
01.01.2021 04:00;1261.9183349609375;485;534.8792724609375;792.5;-1021.2288818359375;-600;-1638.142578125;-1150;-723.5887451171875;-1150;-1586.16259765625;-1622.5;
01.01.2021 05:00;1124.0552978515625;345;657.77642822265625;847.9000244140625;-1060.1849365234375;-600;-1623.678955078125;-1150;-694.626708984375;-1138;-1596.658935546875;-1695.0999755859375;
01.01.2021 06:00;1058.725830078125;200;789.74102783203125;1155;-1071.0279541015625;-600;-1614.9227294921875;-1170;-720.08026123046875;-1170;-1557.5640869140625;-1585;
01.01.2021 07:00;896.93994140625;107.5;926.9659423828125;1089.5;-1067.3726806640625;-600;-1691.2662353515625;-1150;-773.19451904296875;-1123;-1707.9276123046875;-1676;
01.01.2021 08:00;844.52655029296875;108;949.1754150390625;1085.300048828125;-1072.8685302734375;-795;-1817.8162841796875;-1200;-827.61895751953125;-1131;-1924.601806640625;-1932.699951171875;
01.01.2021 09:00;959.3929443359375;190;1025.1632080078125;1162;-1059.8271484375;-745;-1755.167724609375;-1150;-828.77734375;-1077;-1659.216064453125;-1620;
01.01.2021 10:00;948.8116455078125;290;924.4312744140625;1167;-1230.2779541015625;-615;-1851.503662109375;-1590;-858.23321533203125;-1317;-2066.771728515625;-2065;
01.01.2021 11:00;811.8599853515625;233.19999694824219;989.20458984375;1167;-1123.94384765625;-615;-1807.69580078125;-1540;-972.74005126953125;-1280;-2103.315185546875;-2034.800048828125;
01.01.2021 12:00;677.1220703125;-27;876.69842529296875;1185;-1055.1014404296875;-615;-1816.1124267578125;-1466;-1043.8187255859375;-1325;-2361.212158203125;-2248;
01.01.2021 13:00;710.38189697265625;-120.19999694824219;871.01177978515625;1197;-1015.5909423828125;-615;-1771.3760986328125;-1455;-1013.3352661132813;-1196.300048828125;-2218.90869140625;-2189.5;
01.01.2021 14:00;833.57232666015625;-246.39999389648438;742.81732177734375;1190;-1056.603271484375;-615;-1662.85546875;-1500;-903.8173828125;-852;-2046.886474609375;-2023.39990234375;
01.01.2021 15:00;892.88372802734375;-250.5;756.6639404296875;1196;-1082.20556640625;-553;-1646.594970703125;-1520;-835.06201171875;-742.29998779296875;-1914.3148193359375;-1869.800048828125;
01.01.2021 16:00;966.107421875;-288.79998779296875;444.42315673828125;549.0999755859375;-1089.8682861328125;-445;-1496.5263671875;-1055;-709.25518798828125;-600;-1885.1192626953125;-1839.7000732421875;
01.01.2021 17:00;1071.0472412109375;-64.5999984741211;374.93087768554688;315.5;-1090.5196533203125;-27;-1562.8067626953125;-1280;-591.62982177734375;-675;-1798.9781494140625;-1731.10009765625;
01.01.2021 18:00;1091.40625;-91;346.53387451171875;81.20001220703125;-1141.66162109375;5;-1671.6739501953125;-1280;-620.6524658203125;-700;-1996.0479736328125;-1984.800048828125;
01.01.2021 19:00;1162.6268310546875;-32;272.28472900390625;-45;-1204.952392578125;-395;-1715.9354248046875;-1055;-591.16107177734375;-550;-2077.13720703125;-2077;
01.01.2021 20:00;1231.853515625;21.600006103515625;241.67398071289063;263.89999389648438;-1243.29443359375;-520;-1713.1011962890625;-1030;-601.5362548828125;-803;-2084.404296875;-2067.5;
