X,t_h,t_d,Year,Month,Week,Day ,Intraday
27.57,129.06,5.38,,,,,
27.53,158.79,6.62,,,,,
27.46,433.28,18.05,,,,,
27.44,157.56,6.56,,,,,
27.23,350.63,14.61,,,,,
27.22,102.64,4.28,,,,,
27.17,84.13,3.51,,,,,
27.08,84.25,3.51,,,,,
27.06,358.93,14.96,,,,,
26.99,962.84,40.12,,,,,
26.99,1684.97,70.21,,,,,
26.96,139.77,5.82,,,,,
26.79,133.32,5.55,,,,,
26.78,33.62,1.40,,,,,
26.73,75.82,3.16,,,,,
26.69,148.67,6.19,,,,,
26.43,88.42,3.68,,,,,
26.02,160.05,6.67,,,,,
25.87,125.33,5.22,,,,,
25.85,143.40,5.98,,,,,
25.54,169.44,7.06,,,,,
25.52,187.22,7.80,,,,,
25.52,24.17,1.01,,,,,
25.49,24.09,1.00,,,,,
25.43,33.49,1.40,,,,,
25.38,191.35,7.97,,,,,
25.37,58.49,2.44,,,,,
25.36,767.84,31.99,,,,,
25.34,111.71,4.65,,,,,
25.28,168.97,7.04,,,,,
25.22,175.32,7.30,,,,,
25.11,173.31,7.22,,,,,
