Data version;From;To;Agregation function;Agregation;
real data;01.01.2015 00:00:00;31.12.2015 23:59:59;agregation average;hour;
Date;PSE Actual [MW];PSE Planned [MW];SEPS Actual [MW];SEPS Planned [MW];APG Actual [MW];APG Planned [MW];TenneT Actual [MW];TenneT Planned [MW];50HzT Actual [MW];50HzT Planned [MW];CEPS Actual [MW];CEPS Planned [MW];
01.01.2015 00:00;1185.3302001953125;-0;-1468.79443359375;-1005.7999877929688;-2327.16748046875;-272;-672.01873779296875;-337;1034.046875;-714;-2248.603515625;-2328.800048828125;
01.01.2015 01:00;1072.151611328125;-0;-1305.148681640625;-881.20001220703125;-2401.437744140625;-322;-773.66888427734375;-597;889.7281494140625;-731;-2518.37548828125;-2531.199951171875;
01.01.2015 02:00;1049.224609375;100;-1218.967041015625;-757.20001220703125;-2449.30859375;-332;-759.7752685546875;-785;896.33746337890625;-715;-2482.48876953125;-2489.199951171875;
01.01.2015 03:00;1037.2567138671875;100;-1162.1385498046875;-791.4000244140625;-2326.831298828125;-330;-693.227294921875;-593;866.2506103515625;-729;-2278.68994140625;-2343.39990234375;
01.01.2015 04:00;1131.896240234375;50;-1143.821533203125;-821.9000244140625;-2247.980224609375;-370;-590.4886474609375;-163;1036.3231201171875;-540;-1814.0709228515625;-1844.9000244140625;
01.01.2015 05:00;1086.2637939453125;-0;-1172.231689453125;-983.9000244140625;-2249.649658203125;-295;-613.7838134765625;-29;1034.3623046875;-627;-1915.0390625;-1934.89990234375;
01.01.2015 06:00;986.0517578125;-0;-1034.430419921875;-936.5;-2165.029541015625;-318;-624.30615234375;-76;933.22052001953125;-579;-1904.4937744140625;-1909.5;
01.01.2015 07:00;971.0867919921875;-0;-1055.0760498046875;-925;-2186.7138671875;-318;-656.61322021484375;-153;843.50323486328125;-710;-2083.813232421875;-2106;
01.01.2015 08:00;940.64776611328125;-0;-1072.838623046875;-1031;-2230.0556640625;-250;-624.754638671875;-436;984.23236083984375;-371;-2002.7689208984375;-2088;
01.01.2015 09:00;1079.9549560546875;100;-1176.345703125;-930.70001220703125;-2347.602294921875;-365;-685.47015380859375;-528;978.574462890625;-484;-2150.888671875;-2207.699951171875;
01.01.2015 10:00;1209.6654052734375;200;-1309.345947265625;-1019.4000244140625;-2400.77001953125;-276;-642.38763427734375;-547;1125.7392578125;-395;-2017.0989990234375;-2037.39990234375;
