Data version;From;To;Agregation function;Agregation;
real data;01.01.2017 00:00:00;31.12.2017 23:59:59;agregation average;hour;
Date;PSE Actual [MW];PSE Planned [MW];SEPS Actual [MW];SEPS Planned [MW];APG Actual [MW];APG Planned [MW];TenneT Actual [MW];TenneT Planned [MW];50HzT Actual [MW];50HzT Planned [MW];CEPS Actual [MW];CEPS Planned [MW];
01.01.2017 00:00;945.2957763671875;150;-1239.0247802734375;-720.70001220703125;-2071.130126953125;-696;-1501.2315673828125;-1391;586.5098876953125;-599;-3279.580810546875;-3256.699951171875;
01.01.2017 01:00;1073.2296142578125;240;-1073.8211669921875;-505.89999389648438;-2181.0361328125;-700;-1467.597412109375;-1387;667.92724609375;-594;-2981.2978515625;-2946.89990234375;
01.01.2017 02:00;1100.896240234375;230;-1071.1011962890625;-543.70001220703125;-2198.13525390625;-700;-1487.818603515625;-1308;718.72589111328125;-608;-2937.43310546875;-2929.699951171875;
01.01.2017 03:00;1128.995361328125;127;-1214.458251953125;-593.0999755859375;-2261.547119140625;-550;-1374.0224609375;-1200;850.15869140625;-625;-2870.873779296875;-2841.10009765625;
01.01.2017 04:00;1096.32421875;100;-1209.6827392578125;-658.5;-2162.31591796875;-546;-1372.9031982421875;-1145;757.8056640625;-625;-2890.771728515625;-2874.5;
01.01.2017 05:00;1088.14501953125;195;-1204.6273193359375;-641.5999755859375;-2207.01416015625;-527;-1351.5831298828125;-1150;743.369873046875;-775;-2931.709716796875;-2898.60009765625;
01.01.2017 06:00;1010.9061279296875;-0;-1056.1224365234375;-660.70001220703125;-2117.20458984375;-315;-1292.2786865234375;-1043;849.41839599609375;-576;-2605.28125;-2594.699951171875;
01.01.2017 07:00;972.24365234375;-0;-978.2830810546875;-484.10000610351562;-2157.456298828125;-355;-1259.614501953125;-1119;826.87603759765625;-650;-2596.234130859375;-2608.10009765625;
01.01.2017 08:00;965.36395263671875;62;-1061.927734375;-695;-2247.1181640625;-507;-1327.306884765625;-1081;737.11053466796875;-779;-2933.878173828125;-3000;
01.01.2017 09:00;1099.552978515625;348;-1250.154296875;-689.70001220703125;-2316.127685546875;-550;-1245.734619140625;-1147;863.53936767578125;-840;-2848.92431640625;-2878.699951171875;
01.01.2017 10:00;1098.551025390625;208;-1277.7275390625;-731.20001220703125;-2243.281982421875;-548;-1244.7412109375;-977;715.80194091796875;-883;-2951.39794921875;-2931.199951171875;
